Iteration,Train reward,Eval reward,TD loss,Episode
0,nan,-575.3477062991745,nan,0
100,-97.9279363948669,-575.3477062991745,nan,2
200,-177.16383350704484,-575.3477062991745,170.28986,3
300,-158.33205569104993,-575.3477062991745,169.5798,4
400,-196.597447748534,-575.3477062991745,137.36926,5
500,-182.14015588908796,-628.9811556045339,165.86745,6
600,-177.9335647492379,-628.9811556045339,155.51053,8
700,-173.42980149571525,-628.9811556045339,146.66006,9
800,-176.4252931297588,-628.9811556045339,170.5945,10
900,-191.66125162973384,-628.9811556045339,127.60588,11
1000,-198.27906092010335,-617.2520390914941,125.69178,12
1100,-186.1889235795909,-617.2520390914941,141.95932,14
1200,-182.1684897219867,-617.2520390914941,164.35406,15
1300,-188.6702694682706,-617.2520390914941,123.16325,16
1400,-189.07495012266182,-617.2520390914941,124.907166,17
1500,-185.15511769828194,-491.9659626171539,103.62591,18
1600,-181.05746114951225,-491.9659626171539,142.02681,19
1700,-176.4783486387144,-491.9659626171539,120.767685,20
1800,-178.2033735655816,-491.9659626171539,146.97871,22
1900,-166.85823388063687,-491.9659626171539,110.46147,23
2000,-154.52805449897298,-547.5047174505618,119.35236,25
2100,-151.28811563631243,-547.5047174505618,148.19934,27
2200,-151.58479995127428,-547.5047174505618,128.8023,28
2300,-159.49542845498985,-547.5047174505618,126.24738,29
2400,-167.84413589439902,-547.5047174505618,139.12976,30
2500,-157.03747625401232,-681.0818350469293,137.73262,31
2600,-161.66182276506908,-681.0818350469293,143.43105,33
2700,-160.84673605634524,-681.0818350469293,156.93637,34
2800,-168.19157865029564,-681.0818350469293,125.263664,35
2900,-162.1980095435771,-681.0818350469293,138.45793,36
3000,-155.62601147071695,-614.8307753954598,115.178925,37
3100,-155.00498582092817,-614.8307753954598,96.99401,39
3200,-155.3174311511027,-614.8307753954598,122.98081,40
3300,-159.9821658990267,-614.8307753954598,129.62617,42
3400,-159.9821658990267,-614.8307753954598,105.012215,42
3500,-165.27180772802015,-846.995517985812,146.35532,44
3600,-165.4606032536859,-846.995517985812,118.95488,46
3700,-166.5066963918294,-846.995517985812,137.23685,47
3800,-157.1996010402549,-846.995517985812,145.24722,48
3900,-146.17020223493623,-846.995517985812,139.2586,49
4000,-133.54863698354748,-1242.049694564225,128.45743,50
4100,-132.06281651382048,-1242.049694564225,141.6463,52
4200,-137.11370236262263,-1242.049694564225,130.2564,53
4300,-137.11370236262263,-1242.049694564225,141.80763,53
4400,-132.00270505026137,-1242.049694564225,140.42558,55
4500,-132.00270505026137,-1295.6441005019449,150.64096,55
