Iteration,Train reward,Eval reward,TD loss,Episode
0,nan,-575.3477062991745,nan,0
100,-100.0,-575.3477062991745,93.82465,99
200,-100.0,-575.3477062991745,-157.19498,199
300,-100.0,-575.3477062991745,-3757.1782,299
400,-100.0,-575.3477062991745,-13265.49,399
500,-100.0,-803.8488981275186,-88032.87,499
600,-100.0,-803.8488981275186,-218293.27,599
700,-100.0,-803.8488981275186,-47890.547,699
800,-100.0,-803.8488981275186,-210292.05,799
900,-100.0,-803.8488981275186,-393831.8,899
1000,-100.0,-652.0594902595967,-51189.434,999
1100,-100.0,-652.0594902595967,-336480.88,1099
1200,-100.0,-652.0594902595967,-616724.3,1199
1300,-100.0,-652.0594902595967,-17098.018,1299
1400,-100.0,-652.0594902595967,-413884.28,1399
1500,-100.0,-579.3584656007498,-884477.2,1499
1600,-100.0,-579.3584656007498,28055.008,1599
1700,-100.0,-579.3584656007498,-533319.4,1699
1800,-100.0,-579.3584656007498,-1111897.1,1799
1900,-100.0,-579.3584656007498,101074.28,1899
2000,-100.0,-891.0485537683451,-863724.3,1999
2100,-100.0,-891.0485537683451,-1980124.6,2099
2200,-100.0,-891.0485537683451,292833.2,2199
2300,-100.0,-891.0485537683451,-907208.6,2299
2400,-76.30104815944426,-891.0485537683451,-1997928.5,2399
2500,-100.0,-1471.567460454243,587136.06,2499
2600,-100.0,-1471.567460454243,-713034.75,2599
2700,-100.0,-1471.567460454243,-1923049.2,2699
2800,-100.0,-1471.567460454243,814049.7,2799
2900,-100.0,-1471.567460454243,-543252.9,2899
3000,-100.0,-669.3712080747737,-1857958.1,2999
3100,-100.0,-669.3712080747737,1091046.4,3099
3200,-100.0,-669.3712080747737,-366083.56,3199
3300,-100.0,-669.3712080747737,-1664571.5,3299
3400,-100.0,-669.3712080747737,1318821.6,3399
3500,-100.0,-840.7518297426179,-186494.56,3499
3600,-100.0,-840.7518297426179,-1641810.5,3599
3700,-100.0,-840.7518297426179,1666775.2,3699
3800,-100.0,-840.7518297426179,50178.53,3799
3900,-100.0,-840.7518297426179,-1532103.4,3899
4000,-100.0,-864.8158992621727,1989952.4,3999
4100,-100.0,-864.8158992621727,122458.7,4099
4200,-100.0,-864.8158992621727,-1801496.6,4199
4300,-100.0,-864.8158992621727,2538231.0,4299
4400,-100.0,-864.8158992621727,188341.1,4399
4500,-100.0,-870.4701945701987,-2739655.8,4499
4600,-100.0,-870.4701945701987,3687494.0,4599
4700,-100.0,-870.4701945701987,184663.73,4699
4800,-100.0,-870.4701945701987,-3081630.5,4799
4900,-100.0,-870.4701945701987,4406926.0,4899
5000,-100.0,-1060.6260159775388,992755.25,4999
5100,-100.0,-1060.6260159775388,-2218719.8,5099
5200,-100.0,-1060.6260159775388,5209994.5,5199
5300,-100.0,-1060.6260159775388,1750990.4,5299
5400,-100.0,-1060.6260159775388,-1630038.1,5399
5500,-100.0,-1590.9557532122844,6514962.0,5499
5600,-100.0,-1590.9557532122844,2066434.5,5599
5700,-100.0,-1590.9557532122844,-2101775.0,5699
5800,-100.0,-1590.9557532122844,7752368.5,5799
5900,-62.63216811309776,-1590.9557532122844,3135090.2,5899
6000,-100.0,-1056.5246986425223,-1164700.6,5999
6100,-100.0,-1056.5246986425223,9136340.0,6099
6200,-100.0,-1056.5246986425223,4452109.0,6199
6300,-100.0,-1056.5246986425223,-552025.2,6299
6400,-100.0,-1056.5246986425223,10455312.0,6399
6500,-100.0,-580.7365506186754,4870741.0,6499
6600,-100.0,-580.7365506186754,-664173.7,6599
6700,-100.0,-580.7365506186754,11567297.0,6699
6800,-100.0,-580.7365506186754,5734798.0,6799
6900,-100.0,-580.7365506186754,-222531.14,6899
7000,-100.0,-840.0922591381884,13472216.0,6999
7100,-100.0,-840.0922591381884,6411515.0,7099
7200,-100.0,-840.0922591381884,107667.48,7199
7300,-100.0,-840.0922591381884,15385321.0,7299
7400,-100.0,-840.0922591381884,7987060.0,7399
7500,-100.0,-823.2520431810702,386817.38,7499
7600,-100.0,-823.2520431810702,17703474.0,7599
7700,-100.0,-823.2520431810702,9892531.0,7699
7800,-100.0,-823.2520431810702,1793178.4,7799
7900,-100.0,-823.2520431810702,19580958.0,7899
8000,-100.0,-978.7123885247772,10721005.0,7999
8100,-100.0,-978.7123885247772,3109459.2,8099
8200,-100.0,-978.7123885247772,20936046.0,8199
8300,-100.0,-978.7123885247772,12614520.0,8299
8400,-100.0,-978.7123885247772,4072473.2,8399
8500,-100.0,-730.7683177429232,23037922.0,8499
8600,-100.0,-730.7683177429232,14713368.0,8599
8700,-100.0,-730.7683177429232,6267593.0,8699
8800,-100.0,-730.7683177429232,24573952.0,8799
8900,-100.0,-730.7683177429232,15536319.0,8899
9000,-100.0,-634.5248725423573,7785231.5,8999
9100,-100.0,-634.5248725423573,26535468.0,9099
9200,-100.0,-634.5248725423573,17782584.0,9199
9300,-100.0,-634.5248725423573,8869833.0,9299
9400,-100.0,-634.5248725423573,31324596.0,9399
9500,-100.0,-467.61845400308385,21024354.0,9499
9600,-100.0,-467.61845400308385,9735259.0,9599
9700,-100.0,-467.61845400308385,34857296.0,9699
9800,-100.0,-467.61845400308385,22921652.0,9799
9900,-100.0,-467.61845400308385,12135846.0,9899
10000,-100.0,-941.3698120550041,37047070.0,9999
